explorer,80.66,14308,C:\WINDOWS\Explorer.EXE
FreeCommander,139.25,8196,C:\Portable\FreeCommander\FreeCommander.exe
notepad++,1.03,5936,C:\Portable\npp.7.1.bin\notepad++.exe
OneDrive,43.88,2384,C:\Users\Andi\AppData\Local\Microsoft\OneDrive\OneDrive.exe
OneDrive,39.98,8944,C:\Users\Andi\AppData\Local\Microsoft\OneDrive\OneDrive.exe
ONENOTEM,0.09,6488,C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE
PowerMgr,2.11,1220,C:\WINDOWS\SysWOW64\Lenovo\PowerMgr\PowerMgr.exe
powershell,43.47,8968,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
RuntimeBroker,1.28,14736,C:\Windows\System32\RuntimeBroker.exe
SettingSyncHost,0.16,12908,C:\WINDOWS\system32\SettingSyncHost.exe
sihost,6.03,5976,C:\WINDOWS\system32\sihost.exe
soffice,0.03,4848,C:\Program Files\LibreOffice\program\soffice.exe
soffice.bin,64.89,9620,C:\Program Files\LibreOffice\program\soffice.bin
svchost,3.64,3636,C:\WINDOWS\system32\svchost.exe